Filename,Format,Width,Height
milk-bear-mocha-3840x2160-10076.jpg,JPEG,3840,2160
planet-orbit-outer-space-cosmos-3840x2160-8758.jpg,JPEG,3840,2160
Screenshot_1.png,PNG,427,602
Screenshot_5.png,PNG,1152,815
